Bokmål,Nynorsk,Engelsk,Beskrivelse
abstraksjon,,abstraction,
algoritme,,algorithm,
allokere,,allocate,
arbeidsmappe,,working directory,
argument,,argument,
arv,,inheritance,
attributt,,attribute,
avbryte,,cancel,
beregne,,calculate,
betingelse,,condition,
bibliotek,,library,
blandet programmering,,mixed programming,
brukergrensesnitt,,user interface (UI),
datavitenskap,,computer science,
deallokere,,deallocate,
egenskap,,property,
endelse,,suffix,
enhetstesting,,unit testing,
feil,,bug,
feil,,error,
feilsøk,,debug,
feilsøkingsprogram,,debugger,
flagg,,flag,
flette,,merge,
flyttall,,float,
foreldre,,parent,
forkorte,,truncate,
fortsett,,continue,
funksjon,,function,
gjenta,,iterate,
gjentakelse,,iteration,
gjentakende,,iterative,
grafisk brukergrensesnitt,,graphical user interface (GUI),
gren,,branch,
grensesnitt,,interface,
grensesnitt,,interface,
heltall,,integer,
hjemme mappe,,home directory,
hurtiglager,,cache,
implementere,,implement,
inkludere,,embed,
inkrementere,,increment,
inndata,,input,
innrykk,,indent,
instans,,instance,
intervall,,interval,
iterere,,iterate,
kallbar,,callable,
kildekode,,source code,
kjerne dump,,core dump,
kjørbar,,executable,
kjøreomgivelse,,runtime environment,
kjøretid,,runtime,
klasse,,class,
klone,,clone,
kodelager,,repository,
kommando,,command,
kommandolinje grensesnitt,,command line interface (CLI),
kompilator,,compiler,
kompilere,,compiling,
kompleksitet,,complexity,
konsoll,,console,
konvertering,,conversion,
lagre,,save,
lagre,,store,
last inn,,load,
liste,,list,
lukke,,close,
løkke,,loop,
mappe,,directory,
mappe,,folder,
markov prosess,,markov process,
matrise,,matrix,
mengde,,set,
merke,,tag,
merkelapp,,label,
miljø,,environment,
miljøvariabel,,environment variable,
minne lekasje,,memory leak,
minne,,memory,
navnerom,,namespace,
nøkkel,,key,
objekt,,object,
oppsett,,configuration,
oppslagsverk,,dictionary,
oversetter,,interpreter,
parallellkjøring,,multiprocessing,
parameter,,parameter,
pause punkt,,breakpoint
peker,,pointer,
polymorfi,,polymorphism,
profilering,,profiling,
programmering,,programming,
programmeringspråk,,programming language,
refakturere,,refactoring,
rekke,,array,
rekursjon,,recursion,
resurs,,resource,
returtype,,return type
rot,,root,
rotmappe,,root directory,
sentralenhet,,CPU,
sette opp,,configure,
skop,,scope,
skript,,script,
skriv ut,,print,
slette,,invalid,
slå sammen,,concatenate,
sortere,,sort,
standard (verdi),,default,
steg,,step,
sti,,path,
stokastisk,,stochastic,
strøm,,stream,
tegn,,character,
tekstprogram,,editor,
terminal,,terminal,
tildele,,assign,
tilfeldig,,random,
tilføye,,amend,
tråd,,thread,
tuppel,,tuple,
type,,type,
utføre,,commit,
validere,,validate,
variabel,,variable,
vektor,,vector,
verdi,,value,
verifisere,,verify,
versjon kontroll system,,version control system,
virkefelt,,scope,
ytelse,,performance,
ytelsestest,,benchmark,
øke,,increment,
økende,,incremental
